,date,text,sentiment
0,2023/12/19 6:40,Grayscale CEO Michael Sonnenshein believes the SEC needs to approve spot Bitcoin exchange-traded funds (ETFs) simultaneously.,"{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.6}"
1,2023/12/19 6:03,"In an exclusive interview with CryptoNews, Manhar Garegrat, the Country Head for India and Global Partnerships of Liminal Custody, shares insights into crypto industry's collaborations with India government.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
2,2023/12/19 5:55,"According to the Federal Court ruling on December 18, former Binance CEO Changpeng 'CZ' Zhao has been ordered to pay $150 million, while Binance will pay $2.7 billion to conclude the CFTC enforcement action.","{'class': 'positive', 'polarity': 0.05, 'subjectivity': 0.05}"
3,2023/12/19 5:35,"Some suggest EVM inscriptions are the latest way for retail to access low-cap coins, while others argue itâs an over-hyped fad. Whatever it is, itâs clogging up the blockchain.","{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.9}"
4,2023/12/19 5:31,A decision by bloXroute Labs to start censoring OFAC-sanctioned blocks has been seen as a loss for Ethereum censorship resistance.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
5,2023/12/19 5:25,"Yonsei found that during BTCâs rally in early December, the Binary CDD was also active, signaling recent activity by short-term holders.","{'class': 'negative', 'polarity': -0.01, 'subjectivity': 0.38}"
6,2023/12/19 4:50,"Cathie Wood led ARK Invest fund sold around 809, 441 Grayscale Bitcoin Trust (GBTC) shares worth $27.6 million on Monday.","{'class': 'positive', 'polarity': 0.3, 'subjectivity': 0.1}"
7,2023/12/19 4:10,Bitcoin's 150% surge pales in comparison to the staggering 266% return of listed mining companies and crypto firms like Coinbase.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
8,2023/12/19 4:00,"The South Korean city of Busan is edging closer to the launch of a long-awaited blockchain-powered digital assets trading platform, and has named a preferred bidder.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
9,2023/12/19 2:59,"The SEC has pushed back its decision on a roster of Ethereum ETFs, with the final date for a potential approval arriving in late May.","{'class': 'negative', 'polarity': -0.08, 'subjectivity': 0.64}"
10,2023/12/18 23:48,"The new CEO, Josh Swihart, has been the vice president at Electric Coin for nearly five years but recently took a four month stint away from the firm.","{'class': 'positive', 'polarity': 0.01, 'subjectivity': 0.38}"
11,2023/12/18 23:37,"NASDAQ-listed Bitcoin mining firm Cipher Mining Inc. has announced the purchase of 37,396 units of the latest Bitmain Antminer T21 series.","{'class': 'positive', 'polarity': 0.15, 'subjectivity': 0.65}"
12,2023/12/18 23:30,South Korean crypto market analysts think the worldwide crypto market cap could hit the $5 trillion mark in 2024 as global adoption continues.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
13,2023/12/18 22:48,"Tether asserts to have effectively immobilized 326 wallets, overseeing 435 million USDT, in cooperation with law enforcement agencies.","{'class': 'positive', 'polarity': 0.6, 'subjectivity': 0.8}"
14,2023/12/18 21:47,"Here is our weekly collection of digital asset listing and delisting, trading pair-related announcements by crypto exchanges that we found last week and today.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.03}"
15,2023/12/18 21:09,"A former Lido holder has filed a class action lawsuit against the Lido decentralized autonomous organization (DAO), a governing body that manages the liquid staking protocol, according to a recent court document.","{'class': 'positive', 'polarity': 0.12, 'subjectivity': 0.26}"
16,2023/12/18 20:56,"BEEG's adoption skyrockets as 37% is minted within 2 hours and 15 minutes, attracting 4,300 holders. ","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
17,2023/12/18 19:46,"With the Financial Conduct Authority tightening regulations around crypto promotions, Revolut has announced the suspension of cryptocurrency buying services for UK business accounts starting in 2024.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.05}"
18,2023/12/18 19:14,"Over 33% of recent miner revenue has stemmed from transaction fees alone, which are booming thanks to Ordinals.","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.23}"
19,2023/12/18 19:11,Fairshake has raised $78 million to support âpro-cryptoâ?candidates in the forthcoming 2024 US elections.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
20,2023/12/18 19:05,"Metaverse startup Improbable has sold its gaming subsidiary, MPG, to Irish video game company Keywords Studios for $96.8 million.","{'class': 'negative', 'polarity': -0.2, 'subjectivity': 0.2}"
21,2023/12/18 18:33,"Bitcoin may remain under pressure for a few days, but a collapse is unlikely as traders are expected to buy the dips in anticipation of a spot Bitcoin ETF.","{'class': 'negative', 'polarity': -0.27, 'subjectivity': 0.33}"
22,2023/12/18 18:18,"Blue-chip cryptocurrencies continue to pull lower from multi-month/year highs hit earlier in the month amid profit-taking ahead of what is expected to be a somewhat calmer and lower volume run in to the end of the year, as major market participants take time off for the Christmas holidays. But low cap markets continue to pump. Here are some of the biggest gainers on Uniswap.","{'class': 'negative', 'polarity': -0.01, 'subjectivity': 0.42}"
23,2023/12/18 18:15,The ad spot came as the U.S. Securities and Exchange Commission is looking at multiple spot crypto exchange-traded fund applications from asset managers.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
24,2023/12/18 18:11,"Bitcoin (BTC), the world's most valuable cryptocurrency, experienced a downturn over the weekend, falling to the $41,000 range. This decline is part of a broader trend that saw the global crypto market cap drop by over 8% in 24 hours, standing at $1.46 trillion. The market's sluggishness is partly due to a lack of fresh news on ETF applications.","{'class': 'positive', 'polarity': 0.3, 'subjectivity': 0.45}"
25,2023/12/18 18:04,Arweave founder Sam Williams has taken to X to allege storage solution company Irys has plans to fork his decentralized information storage firm.,"{'class': 'negative', 'polarity': -0.2, 'subjectivity': 0.4}"
26,2023/12/18 18:02,Fairshakes has raised $78 million to fund pro-crypto legislators and support leaders who support blockchain innovation in the United States.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
27,2023/12/18 18:00,"The investor claimed that 64% of Lido tokens are controlled by just a few venture capital firms, preventing ordinary investors from having any control over decisions.","{'class': 'negative', 'polarity': -0.23, 'subjectivity': 0.3}"
28,2023/12/18 18:00,"In the midst of the BONK meme coin frenzy, Solana Saga phones have become unexpected stars on the resale market, with one device reportedly fetching\xa0$5,000 on eBay.","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 1.0}"
29,2023/12/18 17:55,"Since the famous meme post to BitcoinTalk, Bitcoin (BTC) is up roughly 100X.","{'class': 'positive', 'polarity': 0.2, 'subjectivity': 0.7}"
30,2023/12/18 17:35,"âWe are still investigating & we should be able to share an update soon,â?wrote a Zilliqa community moderator.","{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.62}"
31,2023/12/18 17:16,"Ethereum layer-2 network Arbitrum (ARB) reached a new all-time high in daily transactions over the weekend, joining Bitcoin under a waterfall of blockchain activity spurred by inscriptions.\r\n\r\nAccording to data from crypto market analysis platform IntoTheBlock, the network tapped 5.4 million...","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.33}"
32,2023/12/18 17:01,"CoinShares said the ""mixed regional flows"" are more indicative of profit-taking actions among investors rather than signaling a negative shift in sentiment towards the digital asset class.","{'class': 'positive', 'polarity': 0.05, 'subjectivity': 0.29}"
33,2023/12/18 17:00,"The 1inch Network, a leading DeFi platform, has come a long way since its launch in 2019. Its founders share the project's success story and the latest features that empower traders and businesses.","{'class': 'positive', 'polarity': 0.25, 'subjectivity': 0.43}"
34,2023/12/18 16:52,"A hard fork proposed by Arweaveâs largest layer-2 solution, Irys, is allegedly in the making.","{'class': 'negative', 'polarity': -0.2, 'subjectivity': 0.32}"
35,2023/12/18 16:36,"A former Amazon engineer has pleaded guilty to hacking two cryptocurrency exchanges, resulting in the first-ever conviction involving the hacking of a smart contract.","{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.55}"
36,2023/12/18 15:42,Digital asset mining firm Hut 8 signed an interim agreement to build out and install crypto-mining facilities in collaboration with Celsius Network.,"{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.2}"
37,2023/12/18 15:27,Dwindling Coinbase Premium Index is signaling a diminishing optimism among professional traders in the Bitcoin market.,"{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.1}"
38,2023/12/18 15:13,"Data shows Tether's USDT stablecoin drifting below its $1 peg across major exchanges. The devaluation follows Tether freezing $435M in USDT on behalf of authorities, sparking backlash.","{'class': 'positive', 'polarity': 0.06, 'subjectivity': 0.5}"
39,2023/12/18 14:25,WIF has witnessed a significant surge since its release on the Solana network.,"{'class': 'positive', 'polarity': 0.38, 'subjectivity': 0.88}"
40,2023/12/18 14:13,The new crypto-mining equipment to be bought by Cipher is expected to deliver 7.1 EH/s of self-mining capacity by the first half of 2025.,"{'class': 'positive', 'polarity': 0.03, 'subjectivity': 0.34}"
41,2023/12/18 14:08,Prominent cryptocurrency companies and investors intend to support pro-cryptocurrency candidates during the 2024 U.S. election cycle.,"{'class': 'positive', 'polarity': 0.5, 'subjectivity': 1.0}"
42,2023/12/18 14:01,BlockShow marks its return to in-person conferences by joining forces with BlockDown to bring a crypto festival to an iconic Hong Kong location in May 2024.,"{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.5}"
43,2023/12/18 14:00,Updated industry standards aim to help prevent security exploits on Ethereum.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
44,2023/12/18 14:00,"Today in crypto: registered investment advisors would likely drive BTC ETFs, US OFAC announced a $1.2 million settlement with the CoinList exchange, and more news!","{'class': 'positive', 'polarity': 0.31, 'subjectivity': 0.75}"
45,2023/12/18 13:55,"The US Justice Department's crackdown on Binance has triggered a seismic shift in how the crypto industry operates, with Binance now set to undergo an 'unprecedented' level of scrutiny.","{'class': 'positive', 'polarity': 0.6, 'subjectivity': 0.9}"
46,2023/12/18 13:16,"Recently, the meme coin market has made a significant comeback, evidenced by Bonk (BONK) achieving gains of over 580% in just 30 days. Snek (SNEK), a trending meme token hosted","{'class': 'positive', 'polarity': 0.19, 'subjectivity': 0.56}"
47,2023/12/18 13:06,"OKX NFT recorded a 24-hour trading volume of $50 million on Dec. 18, surpassing its competitors in the NFT space.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
48,2023/12/18 12:27,Yuga Labs co-founder Greg Solano aided the recovery of stolen NFTs by paying a 120 Ether bounty. ,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
49,2023/12/18 11:54,"Hut 8âs new mining site in Cedarvale, Texas, will house almost 66,000 miners and will be powered by more than 215 MWof energy.","{'class': 'positive', 'polarity': 0.32, 'subjectivity': 0.48}"
50,2023/12/18 11:47,"Bankrupt digital asset exchange, FTX has paid hundreds of millions in legal fees in a few months sparking reactions as creditors seek to recover their losses.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.1}"
51,2023/12/18 11:20,"Bitcoin Ordinals-based development platform Tap Protocol has raised over $4 million in an oversubscribed round, promising more 'big' news to come.","{'class': 'positive', 'polarity': 0.12, 'subjectivity': 0.38}"
52,2023/12/18 11:15,"Digital asset investment products witnessed outflows of $16 million last week, putting an end to an 11-week streak of consecutive inflows.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.03}"
53,2023/12/18 11:13,"Over the past two days, Worldcoin (WLD) has seen a significant price increase, reaching a new all-time high of $4.70, with the token now up 55% in a week. Analysts","{'class': 'positive', 'polarity': 0.11, 'subjectivity': 0.53}"
54,2023/12/18 10:43,"High demand and surging token value drive Solana Saga phone prices on eBay to $5,000, surpassing the original retail price of $599.","{'class': 'positive', 'polarity': 0.27, 'subjectivity': 0.65}"
55,2023/12/18 10:41,"Spot Bitcoin ETFs could trigger unwanted consequences for crypto exchanges like Coinbase due to lower transaction fees, according to ETF analysts.","{'class': 'negative', 'polarity': -0.12, 'subjectivity': 0.38}"
56,2023/12/18 10:16,"Blockstream CEO Adam Back believes 2024 could mark a period of resurgence for Bitcoin, propelling the leading cryptocurrency towards $100,000.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
57,2023/12/18 10:00,"Time after time, the crypto world has rallied together to support those affected by natural disasters and crises worldwide.","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.4}"
58,2023/12/18 9:27,Another dog-themed crypto token comes into the limelight as the Solana memecoin frenzy continues.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
59,2023/12/18 8:46,BTC price action keeps traders nervous going into the holiday period as Bitcoin faces the pressure of the yearly close.,"{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.1}"
60,2023/12/18 7:46,"Embattled crypto exchange FTX has moved forward with plans to end its bankruptcy and make creditors whole again, but escalating legal fees have eaten into its pot.\xa0","{'class': 'positive', 'polarity': 0.2, 'subjectivity': 0.3}"
61,2023/12/18 7:39,"In the ever-shifting world of cryptocurrency, Bitcoin's recent price movement paints a complex picture, trading at $41,079 with a 2.01% decrease on Monday. Amidst this volatility, notable voices in the industry weigh in, offering diverse outlooks. VanEck's CEO stands firm in the belief that Bitcoin will retain its status as the premier digital store of value. In a more futuristic projection, Cathie Wood speculates an astronomical rise for Bitcoin, predicting a 3,356% increase by 2030.","{'class': 'positive', 'polarity': 0.08, 'subjectivity': 0.34}"
62,2023/12/18 7:25,VanEck CEO Jan van Eck expects Bitcoin price to reach all-time high in 2024 as there is âno bubble.â?VanEck CEO Expects Bitcoin Price to See All-Time High in Next 12 Months,"{'class': 'positive', 'polarity': 0.16, 'subjectivity': 0.54}"
63,2023/12/18 7:20,"More companies are turning to blockchain-based private credit as they seek financing amid increasing interest rates, leading to a significant surge in this sector.","{'class': 'positive', 'polarity': 0.29, 'subjectivity': 0.58}"
64,2023/12/18 6:36,"Now-defunct crypto exchange FTX has revealed its latest proposal aimed at returning billions of dollars to customers and creditors, marking the start of the final stage in resolving its bankruptcy case.","{'class': 'positive', 'polarity': 0.25, 'subjectivity': 0.95}"
65,2023/12/18 5:27,"Bitcoin is not the only network getting clogged up with Ordinals inscriptions, with weekend activity on EVM chains also spiking.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 1.0}"
66,2023/12/18 5:15,"Binance Survey participants cite crypto's impact on increased investment value, additional income opportunities, improved financial control, and faster cross-border transactions. ","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
67,2023/12/18 4:00,"A âtectonic riftâ?is threatening to separate the South Korean crypto exchange Upbit from its rivals, as tensions begin to fray between domestic platforms.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.1}"
68,2023/12/18 2:51,"âItâs impossible for me to imagine some other internet store of value [will] leapfrog Bitcoin,â?said Jan van Eck as he made his bullish case for BTC.","{'class': 'negative', 'polarity': -0.4, 'subjectivity': 0.69}"
69,2023/12/18 1:53,"The average APR offered by blockchain credit protocols is 9.65% compared to an average personal loan interest rate of 11.5%, data shows.","{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.37}"
70,2023/12/18 1:24,"After months of tepid sales, the Solana Saga phone is now âSOLD OUTâ?on its official website amid a recent frenzy for the free Bonk memecoin airdrop.","{'class': 'positive', 'polarity': 0.2, 'subjectivity': 0.53}"
71,2023/12/17 23:30,"The former Governor of Chinaâs central bank, Dai Xianglong, has insisted that China needs to âlead the worldâ?in CBDC adoption, as the nationâs digital yuan pilot continues.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.08}"
72,2023/12/17 23:10,"Explosive growth driven by NFT popularity, play-to-earn models, and blockchain integration in mobile gaming.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
73,2023/12/17 23:04,Gaming studio founders Yat Siu and Johnson Yeh think more people are coming to Web3 next year â?and blockchain games are why.,"{'class': 'positive', 'polarity': 0.25, 'subjectivity': 0.25}"
74,2023/12/17 23:00,Cryptocurrency mixers face a dilemma between preserving financial privacy freedom or embracing increased compliance measures to avoid U.S. scrutiny.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
75,2023/12/17 21:35,"According to initial reports and on-chain data, the attack targeted Aurory's SyncSpace bridge, draining nearly 80% of the AURY-USDC pool's liquidity.","{'class': 'positive', 'polarity': 0.05, 'subjectivity': 0.2}"
76,2023/12/17 20:23,"The monthly trading volume on decentralized exchanges (DEX) in November increased to $29 billion, bouncing back from a multiyear low recorded in September.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.15}"
77,2023/12/17 18:10,The hacker returned 36 BAYC and 18 MAYC after receiving a 120 Ether bounty payment from Yuga Labs co-founder Greg Solano.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
78,2023/12/17 17:51,"Three year legal battle concludes with Meta apologizing to Al Mana for unauthorized ads, causing reputational damage and distress.","{'class': 'positive', 'polarity': 0.2, 'subjectivity': 0.2}"
79,2023/12/17 17:00,"The debtors of now-defunct cryptocurrency exchange FTX have submitted an amended Chapter 11 plan of reorganization, suggesting that customer asset claims should be valued retroactively to the date of the exchange's collapse in November last year.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.07}"
80,2023/12/17 15:52,"Bitcoin is set to break its eight-week winning streak, but that has not affected the prospects of ATOM, FIL, EGLD, and ALGO, which look strong on the charts.","{'class': 'positive', 'polarity': 0.47, 'subjectivity': 0.74}"
81,2023/12/17 15:26,Saffron was previously charged in September 2019 by the Commodity Futures Trading Commission with engaging in a fraudulent scheme.,"{'class': 'positive', 'polarity': 0.12, 'subjectivity': 0.43}"
82,2023/12/17 14:51,"As the crypto market enters another week of trading, Bitcoin (BTC) has seen a slight decline to $41,978, dropping by nearly 50% on Sunday. This move coincides with a significant amount of Bitcoin, worth approximately $860 million, being transferred to exchanges, which could be indicative of a potential major sell-off on the horizon.","{'class': 'positive', 'polarity': 0.04, 'subjectivity': 0.52}"
83,2023/12/17 13:22,Alderoty predicts that legislative conflicts could leave US crypto firms in a state of incertaintly while other nations make progress across their regulatory frameworks.,"{'class': 'negative', 'polarity': -0.12, 'subjectivity': 0.38}"
84,2023/12/17 10:52,"Bitcoin miners are the main beneficiaries of current sky-high transaction fees, data shows, but many longtime market participants have little time for complaints.","{'class': 'positive', 'polarity': 0.12, 'subjectivity': 0.43}"
85,2023/12/17 10:49,Google search trends reveal a subdued level of retail enthusiasm for the cryptocurrency market.,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
86,2023/12/17 10:00,"Blockaid co-founder Raz Niv and Apostro co-founder Kate Kurbanova discuss the evolution and high adaptability of crypto thieves, the âingeniousâ?methods attackers employ to empty our crypto wallets, what we can do to protect our own money, and steps to take if we do fall victim to theft.","{'class': 'positive', 'polarity': 0.22, 'subjectivity': 0.62}"
87,2023/12/17 9:00,"Tether, the company responsible for the USDT stablecoin, has made public letters it sent to law enforcement agencies.","{'class': 'positive', 'polarity': 0.1, 'subjectivity': 0.31}"
88,2023/12/17 8:51,Ripple president Monica Long says TradFi systems have been too slow to facilitate global commercial growth. But cryptos like XRP have had great success bridging the gap.,"{'class': 'positive', 'polarity': 0.12, 'subjectivity': 0.26}"
89,2023/12/17 8:09,"Although most altcoins have retraced on a weekly scale, some, such as ICP and BONK, have exploded in an impressive fashion. ","{'class': 'positive', 'polarity': 0.5, 'subjectivity': 0.67}"
90,2023/12/17 7:49,"Phase 2 of the PSC program will prioritize the development of a digital ecosystem and increased user engagement, emphasizing adherence to regulatory compliance.","{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
91,2023/12/17 7:34,VanEck's CEO expects the US SEC will approve all spot BTC ETF applications at the same time. ,"{'class': 'negative', 'polarity': -0.05, 'subjectivity': 0.36}"
92,2023/12/17 4:38,Zhang and Walker have been arrested and made their first appearances in court on Wednesday.,"{'class': 'positive', 'polarity': 0.25, 'subjectivity': 0.33}"
93,2023/12/16 22:46,Decline in hack volumes attributed to enhanced security measures in the cryptocurrency industry. ,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
94,2023/12/16 20:04,Polygon Labs has decided to pour resources on CDK. ,"{'class': 'neutral', 'polarity': 0.0, 'subjectivity': 0.0}"
95,2023/12/16 19:38,"At least 13 Mutant Ape Yacht Club and 37 Bored Ape tokens were stolen, along with VeeFriends and World of Women tokens. The losses amount to almost $3 million.","{'class': 'negative', 'polarity': -0.4, 'subjectivity': 0.7}"
96,2023/12/16 17:37,"While spot Bitcoin ETFs give direct exposure to BTC's price movement, buffer ETFs use options to provide a targeted level of protection when the market experiences negative returns.","{'class': 'negative', 'polarity': -0.1, 'subjectivity': 0.4}"
